PERIODO	CORRIENTE	EXTRA	ACPM	TOTALES
1	32226.79	555.16	10022.81	42804.75
2	21417.21	836.43	5102.54	27356.19
3	38228.46	426.66	7616.78	46271.90
4	25113.27	859.00	9059.24	35031.51
5	36461.97	910.16	10071.26	47443.38
6	35671.53	807.70	6121.33	42600.56
7	27711.83	800.98	11181.26	39694.06
8	30408.72	1519.76	8783.12	40711.60
9	21543.91	1146.48	8555.80	31246.19
10	29048.65	1276.57	7326.60	37651.83
11	33061.82	517.82	7482.36	41062.00
12	27801.56	923.39	9794.91	38519.86
13	24720.62	1292.76	10488.63	36502.00
14	23597.63	841.03	6496.24	30934.90
15	27049.72	68.03	8170.71	35288.46
16	33204.10	990.70	10529.05	44723.86
17	24554.45	151.71	9014.93	33721.09
18	26575.85	559.60	13024.39	40159.85
19	20042.51	1355.85	11616.21	33014.57
20	30002.68	1091.68	10620.51	41714.88
21	34533.69	1269.20	9716.13	45519.02
22	35587.03	976.44	10136.42	46699.90
23	31786.98	821.02	8627.72	41235.73
24	16836.64	517.41	10670.31	28024.35
25	29934.28	1456.13	11975.24	43365.65
26	29790.07	878.89	11367.66	42036.62
27	25281.64	595.42	8463.36	34340.42
28	28199.26	1184.76	7229.73	36613.75
29	22437.83	1262.78	9540.74	33241.35
30	31032.52	1569.02	10383.77	42985.31
31	25428.10	637.23	11777.37	37842.71
32	18511.32	716.34	7689.52	26917.17
33	25203.39	706.89	10266.62	36176.89
34	34848.53	722.01	10066.20	45636.74
35	25388.11	725.38	11536.90	37650.40
36	31330.58	751.84	9665.91	41748.33
37	32521.46	1399.78	9161.53	43082.78
38	27274.28	601.98	7952.58	35828.83
39	25287.64	717.35	8916.34	34921.33
40	24299.82	1105.44	9154.14	34559.41
41	31368.67	1281.55	13307.96	45958.17
42	21327.22	574.17	13454.92	35356.31
43	28620.97	672.63	9453.38	38746.98
44	25637.51	1057.37	8110.52	34805.40
45	14636.26	1241.64	6687.57	22565.47
46	19403.67	768.44	10496.75	30668.86
47	32351.23	328.83	8038.70	40718.76
48	20059.46	0.00	7281.54	27341.00
49	21190.74	0.00	8384.11	29574.85
50	23098.77	0.00	8587.69	31686.46
51	21859.89	97.69	8313.47	30271.05
52	23973.44	500.69	9103.3	33577.43
53	22107.68	529.22	7751.69	30388.59
54	23720.91	720.14	8211.85	32652.90
55	24785.28	815.45	8572.64	34173.37
56	23387.57	726.67	8589.89	32704.13
57	24058.88	795.02	7937.95	32791.85
58	23941.94	732.80	8157.04	32831.78
59	28383.92	1182.31	8730.84	38297.07
60	23382.2	831.58	7775.61	31989.39
61	23703.39	726.19	7354.34	31783.92
62	26245.09	1185.34	8264.46	35694.89
63	26154.95	1180.26	7732.52	35067.73
64	27570.91	880.45	8429.85	36881.21
65	26274.54	1011.29	8031.08	35316.91
66	28391.18	1105.07	8519.59	38015.84
67	39486.22	1767.69	10417.14	51671.05
68	38826.23	1640.99	10113.96	50581.18
69	39762.43	1577.29	9841.47	51181.19
70	38043.47	1559.04	9117.99	48720.50
71	38125.5	1172.32	9062.8	48360.62
72	28848.99	1013.41	8441.06	38303.46
73	28795.64	1057.49	11373.72	41226.85
74	31621.22	887.95	12898.5	45407.67
75	29645.24	855.26	12249.13	42749.63
76	30857.98	987.40	12210.88	44056.26
77	29484.68	1038.02	12192.4	42715.10
78	29718.59	846.18	11279.7	41844.47
79	30157.52	900.97	12105.13	43163.62
80	30043.93	905.12	11880.75	42829.80
81	27013.08	874.06	12629.98	40517.12
82	22093.96	661.10	11538.9	34293.96
83	23730.95	753.80	11236.79	35721.54
84	17633.23	606.75	10561.41	28801.39
85	16617.88	635.92	10007.69	27261.49
86	18306.9	623.97	10487	29417.87
87	19581.23	605.42	9757.2	29943.85
88	26569.89	698.68	10133.07	37401.64
89	24646.53	679.50	9902.57	35228.60
90	30057.49	881.77	10214.81	41154.07
91	30502.15	1036.52	10137.37	41676.04
92	30047.63	1017.93	9932.95	40998.51
93	31630.49	981.21	10029.53	42641.23
94	30526.65	931.13	9953.79	41411.57
95	33322.95	1163.88	10577.98	45064.81
96	26184.52	1499.46	13207.06	40891.04
97	31723.39	1397.26	8352.54	41473.19
98	37761.42	597.19	9878.78	48237.39
99	35458.05	837.84	15543.17	51839.06
100	31021.59	205.97	8010.62	39238.18
101	29365.85	1074.56	10179.61	40620.03
102	26176.05	1463.37	8013.71	35653.14
103	36037.30	251.53	10241.00	46529.83
104	30570.30	571.39	8371.45	39513.14
105	20713.95	623.00	9827.02	31163.96
106	26382.98	608.10	9254.07	36245.14
107	16563.07	103.86	7896.80	24563.73
108	26162.35	1048.92	9725.94	36937.21
109	12812.70	290.87	11227.05	24330.62
110	34567.66	852.78	12149.43	47569.87
111	23710.34	1083.24	7606.67	32400.25
112	24855.16	788.19	9326.43	34969.78
113	26306.82	1194.75	11484.03	38985.60
114	30659.32	852.51	8002.48	39514.32
115	31027.56	620.58	5836.86	37485.00
116	30412.79	1103.14	8275.54	39791.47
117	24061.20	700.32	8227.55	32989.07
118	19657.40	1523.14	9781.37	30961.90
119	25084.92	855.29	9090.42	35030.64
120	28797.53	1180.13	10063.13	40040.79
